From https://hahana.soest.hawaii.edu/FTP/hot/ctd/aloha_mean/hot317.mn,,
,,
Pressure (dbars),Temperature (deg C),Salinity
0,25.7303,34.7152
2,25.8266,34.7119
4,25.8269,34.7124
6,25.8265,34.7131
8,25.8272,34.7133
10,25.8272,34.7133
12,25.8277,34.7133
14,25.8274,34.7132
16,25.8272,34.7132
18,25.8261,34.713
20,25.8241,34.7129
22,25.8227,34.7127
24,25.823,34.7126
26,25.8222,34.7124
28,25.8204,34.7125
30,25.8211,34.7124
32,25.8218,34.7124
34,25.8218,34.7123
36,25.8235,34.7125
38,25.8241,34.7126
40,25.8242,34.7127
42,25.824,34.7127
44,25.8241,34.7127
46,25.8227,34.7126
48,25.8233,34.7127
50,25.8232,34.713
52,25.8234,34.713
54,25.8235,34.713
56,25.8236,34.713
58,25.8234,34.7131
60,25.8238,34.7133
62,25.8238,34.7134
64,25.8243,34.7136
66,25.8248,34.7139
68,25.8251,34.714
70,25.8253,34.7144
72,25.8253,34.7152
74,25.8239,34.7169
76,25.8241,34.7177
78,25.8241,34.7185
80,25.824,34.719
82,25.8234,34.7204
84,25.8228,34.7223
86,25.8221,34.7241
88,25.8214,34.7256
90,25.8184,34.7274
92,25.7994,34.7296
94,25.7598,34.7317
96,25.605,34.74
98,25.4117,34.745
100,25.1488,34.7518
102,24.7942,34.7599
104,24.5843,34.7654
106,24.354,34.7726
108,24.2397,34.775
110,24.1066,34.7843
112,23.9425,34.7918
114,23.8405,34.8007
116,23.7226,34.8138
118,23.5576,34.8285
120,23.3605,34.8374
122,23.185,34.8459
124,23.0839,34.8588
126,22.9622,34.8704
128,22.8574,34.878
130,22.7496,34.8899
132,22.6421,34.9019
134,22.5035,34.9152
136,22.3467,34.9273
138,22.2103,34.935
140,22.0872,34.9427
142,22.009,34.9477
144,21.928,34.9545
146,21.8298,34.9618
148,21.7395,34.9673
150,21.6637,34.9716
152,21.5785,34.9763
154,21.4471,34.9896
156,21.3323,34.9985
158,21.2099,35.0042
160,21.1051,35.0114
162,20.9799,35.0131
164,20.8509,35.0216
166,20.7377,35.0314
168,20.656,35.0345
170,20.531,35.0368
172,20.4075,35.0393
174,20.3422,35.0374
176,20.2787,35.036
178,20.2034,35.034
180,20.118,35.0288
182,19.9973,35.0233
184,19.8895,35.0181
186,19.817,35.0162
188,19.7003,35.0089
190,19.6258,35.0054
192,19.5368,35.0019
194,19.4305,34.9923
196,19.3272,34.9922
198,19.2291,34.9857
200,19.1501,34.9794
